Date,Open,High,Low,Close,Volume
2019-07-05,316.0,316.0,316.0,316.0,47400
2019-07-08,394.0,394.0,352.0,354.0,52205700
2019-07-09,354.0,398.0,342.0,390.0,38512800
2019-07-10,390.0,404.0,374.0,378.0,12999700
2019-07-11,378.0,378.0,330.0,334.0,19495700
2019-07-12,334.0,362.0,306.0,358.0,65342700
2019-07-15,358.0,372.0,354.0,360.0,16762200
2019-07-16,360.0,360.0,344.0,360.0,11552600
2019-07-17,360.0,450.0,360.0,450.0,91836600
2019-07-18,454.0,515.0,444.0,498.0,104543600
2019-07-19,498.0,515.0,384.0,448.0,96746100
2019-07-22,442.0,442.0,408.0,424.0,16164700
2019-07-23,426.0,436.0,408.0,408.0,23538900
2019-07-24,410.0,422.0,392.0,412.0,33344900
2019-07-25,406.0,408.0,396.0,402.0,7500100
2019-07-26,400.0,408.0,394.0,394.0,5682100
2019-07-29,394.0,402.0,380.0,402.0,19909800
2019-07-30,398.0,422.0,396.0,420.0,21145000
2019-07-31,416.0,430.0,404.0,420.0,19497200
2019-08-01,422.0,444.0,404.0,406.0,28307200
2019-08-02,408.0,418.0,394.0,400.0,15794700
2019-08-05,396.0,412.0,388.0,410.0,31235300
2019-08-06,410.0,410.0,388.0,396.0,13196200
2019-08-07,396.0,418.0,392.0,406.0,26439500
2019-08-08,406.0,426.0,400.0,414.0,17839600
2019-08-09,416.0,424.0,410.0,418.0,11611400
2019-08-12,418.0,486.0,416.0,480.0,73531600
2019-08-13,476.0,500.0,460.0,478.0,39992700
2019-08-14,482.0,525.0,478.0,496.0,52050200
2019-08-15,488.0,515.0,478.0,500.0,24618600
2019-08-16,500.0,520.0,490.0,490.0,22197500
2019-08-20,482.0,492.0,476.0,486.0,16967800
2019-08-21,486.0,530.0,476.0,525.0,44802300
2019-08-22,525.0,585.0,510.0,560.0,52059500
2019-08-23,555.0,570.0,530.0,540.0,19001800
2019-08-26,535.0,560.0,520.0,530.0,25137600
2019-08-27,530.0,550.0,520.0,525.0,22647200
2019-08-28,530.0,545.0,510.0,540.0,35175300
2019-08-29,540.0,555.0,530.0,545.0,23058400
2019-08-30,550.0,565.0,540.0,550.0,23006300
2019-09-02,545.0,550.0,458.0,458.0,32186500
2019-09-03,458.0,458.0,344.0,352.0,15404600
2019-09-04,352.0,366.0,264.0,264.0,49094700
2019-09-05,262.0,288.0,236.0,270.0,41197900
2019-09-06,270.0,310.0,270.0,276.0,50161100
2019-09-09,278.0,278.0,260.0,266.0,11372500
2019-09-10,266.0,266.0,248.0,252.0,8021400
2019-09-11,258.0,280.0,252.0,266.0,43933700
2019-09-12,266.0,268.0,256.0,256.0,22105200
2019-09-13,256.0,256.0,248.0,248.0,6576200
